year,course_type,course_name
2016,Full-Time,Nitec in Beauty & Wellness (3-year)
2016,Full-Time,Nitec in Business Services
2016,Full-Time,Nitec in Chemical Process Technology
2016,Full-Time,Nitec in Community Care & Social Services
2016,Full-Time,Nitec in Digital Animation
2016,Full-Time,Nitec in Digital Audio & Video Production
2016,Full-Time,Nitec in Electrical Technology (Lighting & Sound)
2016,Full-Time,Nitec in Electrical Technology (Power & Control)
2016,Full-Time,Nitec in Electronics (Broadband Technology & Services)
2016,Full-Time,Nitec in Electronics (Computer & Networking)
2016,Full-Time,Nitec in Electronics (Display Technology)
2016,Full-Time,Nitec in Electronics (Instrumentation)
2016,Full-Time,Nitec in Electronics (Microelectronics)
2016,Full-Time,Nitec in Electronics (Mobile Devices)
2016,Full-Time,Nitec in Facility Technology (Air-Conditioning & Refrigeration)
2016,Full-Time,Nitec in Facility Technology (Landscaping Services)
2016,Full-Time,Nitec in Facility Technology (Mechanical & Electrical Services)
2016,Full-Time,Nitec in Facility Technology (Mechanical & Electrical Services) (3-year)
2016,Full-Time,Nitec in Facility Technology (Vertical Transportation)
2016,Full-Time,Nitec in Fashion Apparel Production & Design
2016,Full-Time,Nitec in Finance Services
2016,Full-Time,Nitec in Fitness Training
2016,Full-Time,Nitec in Floristry
2016,Full-Time,Nitec in Food & Beverage Operations
2016,Full-Time,Nitec in Hair Fashion & Design
2016,Full-Time,Nitec in Info-Communications Technology (Cloud Computing)
2016,Full-Time,Nitec in Info-Communications Technology (Mobile Networks & Applications)
2016,Full-Time,Nitec in Info-Communications Technology (Networking & Systems Administration)
2016,Full-Time,Nitec in Laser & Tooling Technology
2016,Full-Time,Nitec in Laser & Tooling Technology (3-year)
2016,Full-Time,Nitec in Logistics Services
2016,Full-Time,Nitec in Mechanical Technology
2016,Full-Time,Nitec in Mechanical Technology (3-year)
2016,Full-Time,Nitec in Mechatronics
2016,Full-Time,Nitec in Medical Manufacturing Technology
2016,Full-Time,Nitec in Nursing
2016,Full-Time,Nitec in Opticianry
2016,Full-Time,Nitec in Pastry & Baking
2016,Full-Time,Nitec in Product Design
2016,Full-Time,Nitec in Rapid Transit Technology
2016,Full-Time,Nitec in Retail Services
2016,Full-Time,Nitec in Retail Services (3-year)
2016,Full-Time,Nitec in Security Technology
2016,Full-Time,Nitec in Social Media & Web Development
2016,Full-Time,Nitec in Space Design (Architecture)
2016,Full-Time,Nitec in Space Design (Interior & Exhibition)
2016,Full-Time,Nitec in Travel & Tourism Services
2016,Full-Time,Nitec in Visual Communication
2016,Full-Time,Nitec in Visual Effects
2016,Full-Time,Nitec in Western Culinary Arts
2016,Full-Time,Technical Diploma in Culinary Arts
2016,Full-Time,Technical Engineer Diploma in Automotive Engineering
2016,Full-Time,Technical Engineer Diploma in Machine Technology
2016,Part-Time,Higher Nitec in Services - Accounting
2016,Part-Time,Higher Nitec in Services - Banking Services
2016,Part-Time,Higher Nitec in Services - Event Management
2016,Part-Time,Higher Nitec in Services - Hospitality Operations
2016,Part-Time,Higher Nitec in Services - Human Resource & Administration
2016,Part-Time,Higher Nitec in Services - Interactive Design
2016,Part-Time,Higher Nitec in Services - Logistics for International Trade
2016,Part-Time,Higher Nitec in Services - Space Design Technology
2016,Part-Time,Higher Nitec in Services - Visual Merchandising
2016,Part-Time,Higher Nitec in Technology - Chemical Technology
2016,Part-Time,Higher Nitec in Technology - Civil & Structural Engineering Design
2016,Part-Time,Higher Nitec in Technology - Electrical Engineering
2016,Part-Time,Higher Nitec in Technology - Electronics Engineering
2016,Part-Time,Higher Nitec in Technology - Facility Management
2016,Part-Time,Higher Nitec in Technology - Games Art & Design
2016,Part-Time,Higher Nitec in Technology - Games Programming & Development
2016,Part-Time,Higher Nitec in Technology - Information Technology
2016,Part-Time,Higher Nitec in Technology - Marine & Offshore Technology
2016,Part-Time,Higher Nitec in Technology - Mechanical Engineering
2016,Part-Time,Higher Nitec in Technology - Mechatronics Engineering
2016,Part-Time,Higher Nitec in Technology - Offshore & Marine Engineering Design
2016,Part-Time,Higher Nitec in Technology - Security System Integration
2016,Part-Time,ITE Skills Certificate in Electrical Wiring
2016,Part-Time,ITE Skills Certificate in Gas Tungsten Arc Welding
2016,Part-Time,ITE Skills Certificate in Residential Air-Conditioning
2016,Part-Time,ITE Skills Certificate in Residential Plumbing
2016,Part-Time,ITE Skills Certificate in Shielded Metal Arc Welding
2016,Part-Time,Nitec in Services - Beauty & Wellness
2016,Part-Time,Nitec in Services - Business Services
2016,Part-Time,Nitec in Services - Digital Animation
2016,Part-Time,Nitec in Services - Pastry & Baking
2016,Part-Time,Nitec in Services - Space Design (Interior & Exhibition)
